Study_id,Instance,Monomer_A,Monomer_B,Monomer_C,3HB_ratio,3HV_ratio,4HV_ratio,Mw,Units_Mw,Mn,Units_Mn,PDI,Shape,Diameter,Diameter_Units,Length,Units_Length,Thickness,Units_Thickness,Zeta_Potential,Units_Zeta_Potential,Additive1,Additive1_Name,Additive1_Percentage,Additive1_Use,Additive2_Name,Additive2_Percentage,Additive2_Use,Additive3_Name,Additive3_Percentage,Additive3_Use,Polymer_Percentage,Species_Name,Species_Group,Initial_Organism_Age,Units_Initial_Organism_Age,Initial_Organism_Size,Units_Initial_Organism_Size,Exposure_type,Media_type,Test_location,Tested_Concentration,Units_Tested_Concentration,Observation_Period,Units_Observation_Period,Exposure_Regime,EC_10,EC_10_Units,EC_20,EC_20_Units,EC_50,EC_50_Units,Toxic_Units,LC_50,LC_50_Units,LD_50,LD_50_Units,Mortality_Percentage,Body_Mass_Change_Percentage,Size_Increase,Size_Increase_Units,Number_of_Juveniles,Number_of_Cocoons,SGI_Percentage,Survival_rate_percentage,Normal_Plutei_Percentage,SGR,SGR_Units,WG,WG_Units,Plant_Height,Plant_Height_Units,Shoot_Biomass,Shoot_Biomass_Units,Foliar_C_N_ratio,Plant_Growth,Toxicity_Grade,Toxicity_Classification
11,10,3HB,,,100.0,0.0,0.0,257500.0,,103000.0,,2.5,Film,55.0,mm,,,1.0,mm,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Hordeum_Vulgare,Terrestrial_Plant,,,,,Soil,Sandy_Soil,Lab,,,183.0,days,Chronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.743537833524,0,Non_Toxic
11,11,3HB,,,100.0,0.0,0.0,257500.0,,103000.0,,2.5,Film,55.0,mm,,,1.0,mm,,,Yes,a_PHB,50.0,Flexibilizer,,0.0,not_applicable,,0.0,not_applicable,50.0,Hordeum_Vulgare,Terrestrial_Plant,,,,,Soil,Sandy_Soil,Lab,,,183.0,days,Chronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.852939727669,0,Non_Toxic
11,12,3HB,,,100.0,0.0,0.0,257500.0,,103000.0,,2.5,Film,55.0,mm,,,1.0,mm,,,Yes,PLLA,50.0,Structural,,0.0,not_applicable,,0.0,not_applicable,50.0,Hordeum_Vulgare,Terrestrial_Plant,,,,,Soil,Sandy_Soil,Lab,,,183.0,days,Chronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.109489051094,0,Non_Toxic
12,1,3HB,3HV,,93.5,6.5,0.0,,,,,,Spherical,62.82,μm,,,,,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Aliivibrio_Fischeri,Aquatic_Organisms,,,,,Waterborne,Artificial_Seawater,Lab,10.0,g/L,0.020833333333333336,days,Acute,684.6,mg/L,,,3942.3,mg/L,2.5,,,,,,,,,,,,,,,,,,,,,,,,0,Non_Toxic
12,2,3HB,3HV,,93.5,6.5,0.0,,,,,,Spherical,62.82,μm,,,,,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Rhodomonas_Salina,Aquatic_Organisms,,,,,Waterborne,Autoclaved_Seawater,Lab,1.0,g/L,3.0,days,Acute,6.5,mg/L,,,73.6,mg/L,13.6,,,,,,,,,,,,,,,,,,,,,,,,2,Toxic
12,3,3HB,3HV,,93.5,6.5,0.0,,,,,,Spherical,62.82,μm,,,,,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Paracentrotus_Lividus,Aquatic_Organisms,,,,,Waterborne,Artificial_Seawater,Lab,1.0,g/L,2.0,days,Acute,392.0,mg/L,,,931.8,mg/L,1.1,,,,,,,,,,,,,,,,,,,,,,,,0,Non_Toxic
12,4,3HB,3HV,,93.5,6.5,0.0,,,,,,Spherical,62.82,μm,,,,,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Mytilus_Galloprovincialis,Aquatic_Organisms,,,,,Waterborne,Filtered_Seawater,Lab,10.0,g/L,2.0,days,Acute,1557.6,mg/L,,,2647.0,mg/L,3.8,,,,,,,,,,,,,,,,,,,,,,,,1,Moderately_Toxic
12,5,3HB,3HV,,93.5,6.5,0.0,,,,,,Spherical,62.82,μm,,,,,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Acartia_Tonsa,Aquatic_Organisms,,,,,Waterborne,Artificial_Seawater,Lab,1.0,g/L,2.0,days,Acute,421.6,mg/L,,,657.0,mg/L,1.5,,,,,,,,,,,,,,,,,,,,,,,,0,Non_Toxic
13,1,3HB,,,100.0,0.0,0.0,,,,,,,,,,,,,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Paracentrotus_Lividus,Aquatic_Organisms,,,,,Orally,Filtered_Seawater,Controlled_Mesocosm_System,0.84,g/kg,42.0,days,Chronic,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0,Non_Toxic
13,2,3HB,,,100.0,0.0,0.0,,,,,,,,,,,,,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Paracentrotus_Lividus,Aquatic_Organisms,,,,,Orally,Filtered_Seawater,Controlled_Mesocosm_System,8.4,g/kg,42.0,days,Chronic,,,,,,,,,,,,64.2,,,,,,,,,,,,,,,,,,,2,Toxic
14,1,3HB,,,100.0,0.0,0.0,,,,,,,,,,,,,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Idotea_Balthica_Basteri,Aquatic_Organisms,,Months,,,Orally,Filtered_Seawater,Lab,0.84,g/kg,27.0,days,Chronic,,,,,,,,,,,,29.9999999999999,,,,,,,,,,,,,,,,,,,1,Moderately_Toxic
14,2,3HB,,,100.0,0.0,0.0,,,,,,,,,,,,,,,No,,0.0,not_applicable,,0.0,not_applicable,,0.0,not_applicable,100.0,Idotea_Balthica_Basteri,Aquatic_Organisms,,Months,,,Orally,Filtered_Seawater,Lab,8.4,g/kg,27.0,days,Chronic,,,,,,,,,,,,26.5853658536585,,,,,,,,,,,,,,,,,,,1,Moderately_Toxic
